question,response
chair,chaise
planet,planète
galaxy,galaxie
drink,boire
take,prendre
train,train
jump,sauter
water,eau
peace,paix
study,étudier
book,livre
galaxy,galaxie
galaxy,galaxie
spaceship,vaisseau spatial
night,nuit
train,train
think,penser
forest,forêt
fight,se battre
smile,sourire
sheep,mouton
light,lumière
eat,manger
food,nourriture
rainbow,arc-en-ciel
pen,stylo
pluto,pluton
car,voiture
sheep,mouton
cloud,nuage
tiger,tigre
laugh,rire
speak,parler
elephant,éléphant
write,écrire
friendship,amitié
remember,se souvenir
cloud,nuage
sit,s'asseoir
dog,chien
astronaut,astronaute
darkness,obscurité
sheep,mouton
laugh,rire
city,ville
buy,acheter
fish,poisson
bee,abeille
planet,planète
cloud,nuage
earth,terre
night,nuit
cry,pleurer
rest,se reposer
space,espace
friendship,amitié
chair,chaise
cry,pleurer
school,école
desert,désert
bus,autobus
happiness,bonheur
bee,abeille
car,voiture
sit,s'asseoir
mountain,montagne
venus,vénus
universe,univers
table,table
sing,chanter
tree,arbre
desert,désert
cloud,nuage
saturn,saturne
mercury,mercure
study,étudier
tiger,tigre
forest,forêt
bottle,bouteille
sea,mer
bottle,bouteille
laugh,rire
friendship,amitié
neptune,neptune
argue,disputer
fight,se battre
bottle,bouteille
cow,vache
river,rivière
fish,poisson
car,voiture
laugh,rire
bus,autobus
sing,chanter
mercury,mercure
desert,désert
stand,se tenir
airplane,avion
airplane,avion
tiger,tigre
water,eau
venus,vénus
moon,lune
peace,paix
universe,univers
horse,cheval
night,nuit
galaxy,galaxie
stand,se tenir
morning,matin
bird,oiseau
jump,sauter
rainbow,arc-en-ciel
sea,mer
run,courir
venus,vénus
saturn,saturne
forest,forêt
book,livre
village,village
computer,ordinateur
rain,pluie
desert,désert
bee,abeille
understand,comprendre
drink,boire
keyboard,clavier
water,eau
speak,parler
sun,soleil
school,école
book,livre
bee,abeille
keyboard,clavier
night,nuit
river,rivière
star,étoile
understand,comprendre
night,nuit
sit,s'asseoir
write,écrire
learn,apprendre
remember,se souvenir
saturn,saturne
rainbow,arc-en-ciel
sit,s'asseoir
sheep,mouton
book,livre
jupiter,jupiter
keyboard,clavier
forest,forêt
car,voiture
bicycle,vélo
moon,lune
pluto,pluton
forest,forêt
give,donner
jupiter,jupiter
sun,soleil
house,maison
night,nuit
understand,comprendre
earth,terre
sheep,mouton
dog,chien
happiness,bonheur
cat,chat
star,étoile
water,eau
storm,tempête
school,école
sleep,dormir
help,aider
fight,se battre
study,étudier
learn,apprendre
forget,oublier
earth,terre
fight,se battre
buy,acheter
venus,vénus
earth,terre
space,espace
cry,pleurer
elephant,éléphant
forest,forêt
buy,acheter
country,pays
bicycle,vélo
sell,vendre
speak,parler
argue,disputer
country,pays
sleep,dormir
cat,chat
rainbow,arc-en-ciel
fight,se battre
smile,sourire
saturn,saturne
space,espace
light,lumière
universe,univers
horse,cheval
cloud,nuage
sit,s'asseoir
night,nuit
pay,payer
pen,stylo
river,rivière
cry,pleurer
moon,lune
pluto,pluton
pluto,pluton
think,penser
cow,vache
astronaut,astronaute
star,étoile
walk,marcher
mountain,montagne
work,travailler
stand,se tenir
rocket,fusée
walk,marcher
drink,boire
elephant,éléphant
chair,chaise
car,voiture
listen,écouter
bus,autobus
fish,poisson
run,courir
country,pays
light,lumière
smile,sourire
train,train
peace,paix
smile,sourire
remember,se souvenir
forest,forêt
rainbow,arc-en-ciel
sit,s'asseoir
food,nourriture
give,donner
drink,boire
desert,désert
universe,univers
moon,lune
city,ville
galaxy,galaxie
space,espace
lion,lion
bus,autobus
smile,sourire
flower,fleur
sell,vendre
elephant,éléphant
jupiter,jupiter
friend,ami
desert,désert
snow,neige
tree,arbre
city,ville
cloud,nuage
bus,autobus
saturn,saturne
help,aider
forest,forêt
star,étoile
neptune,neptune
buy,acheter
ocean,océan
walk,marcher
elephant,éléphant
forest,forêt
sky,ciel
receive,recevoir
tree,arbre
car,voiture
bicycle,vélo
apple,pomme
horse,cheval
village,village
desert,désert
darkness,obscurité
morning,matin
bird,oiseau
sun,soleil
eat,manger
rain,pluie
house,maison
car,voiture
train,train
elephant,éléphant
jump,sauter
rainbow,arc-en-ciel
earth,terre
bicycle,vélo
work,travailler
think,penser
computer,ordinateur
fight,se battre
snow,neige
jump,sauter
fish,poisson
laugh,rire
moon,lune
mars,mars
morning,matin
cow,vache
forest,forêt
rain,pluie
smile,sourire
moon,lune
argue,disputer
remember,se souvenir
forget,oublier
forget,oublier
argue,disputer
happiness,bonheur
sheep,mouton
tree,arbre
understand,comprendre
argue,disputer
eat,manger
village,village
train,train
run,courir
fish,poisson
jump,sauter
sing,chanter
ocean,océan
morning,matin
apple,pomme
food,nourriture
drink,boire
dance,danser
universe,univers
pluto,pluton
ocean,océan
laugh,rire
car,voiture
laugh,rire
city,ville
saturn,saturne
train,train
dance,danser
remember,se souvenir
happiness,bonheur
stand,se tenir
river,rivière
country,pays
bicycle,vélo
food,nourriture
stand,se tenir
happiness,bonheur
car,voiture
sell,vendre
fish,poisson
river,rivière
drink,boire
tree,arbre
give,donner
car,voiture
help,aider
planet,planète
bottle,bouteille
sun,soleil
ocean,océan
fight,se battre
rainbow,arc-en-ciel
galaxy,galaxie
bicycle,vélo
cat,chat
speak,parler
darkness,obscurité
rest,se reposer
mountain,montagne
morning,matin
friend,ami
river,rivière
hello,bonjour
earth,terre
rain,pluie
receive,recevoir
pluto,pluton
cow,vache
stand,se tenir
elephant,éléphant
friend,ami
listen,écouter
smile,sourire
listen,écouter
